"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2220-03B_1_S15","","Stop 03b 1 S15","21.050032","105.917806","","","0","","","","0","",""
"2220-03B_1_S16","","Stop 03b 1 S16","21.047182","105.919422","","","0","","","","0","",""
"2220-03B_1_S17","","Stop 03b 1 S17","21.043249","105.925472","","","0","","","","0","",""
"2220-03B_1_S18","","Stop 03b 1 S18","21.047549","105.923806","","","0","","","","0","",""
"2220-03B_1_S19","","Stop 03b 1 S19","21.045561","105.924327","","","0","","","","0","",""
"2220-03B_2_S2","","Stop 03b 2 S2","21.043632","105.925122","","","0","","","","0","",""
"2220-03B_2_S3","","Stop 03b 2 S3","21.047149","105.919806","","","0","","","","0","",""
"2220-03B_2_S4","","Stop 03b 2 S4","21.050066","105.918106","","","0","","","","0","",""
"2220-03B_2_S5","","Stop 03b 2 S5","21.040516","105.904156","","","0","","","","0","",""
"2220-03B_2_S10","","Stop 03b 2 S10","20.99553","105.855717","","","0","","","","0","",""
"2220-03B_2_S11","","Stop 03b 2 S11","20.996034","105.85079","","","0","","","","0","",""
"2220-03B_2_S12","","Stop 03b 2 S12","20.996597","105.846268","","","0","","","","0","",""
"2220-03B_2_S16","","Stop 03b 2 S16","20.980634","105.840691","","","0","","","","0","",""
"2220-03B_2_S17","","Stop 03b 2 S17","20.976517","105.840624","","","0","","","","0","",""
"2220-03B_2_S18","","Stop 03b 2 S18","20.972034","105.840607","","","0","","","","0","",""
"2220-03B_2_S19","","Stop 03b 2 S19","20.965128","105.841673","","","0","","","","0","",""
"2220-03B_2_S20","","Stop 03b 2 S20","20.960314","105.842027","","","0","","","","0","",""
"2220-03B_2_S21","","Stop 03b 2 S21","20.964901","105.842391","","","0","","","","0","",""
"2220-04_1_S10","","Stop 04 1 S10","21.002369","105.861169","","","0","","","","0","",""
"2220-04_1_S11","","Stop 04 1 S11","20.997784","105.86164","","","0","","","","0","",""
"2220-04_1_S12","","Stop 04 1 S12","20.992434","105.86224","","","0","","","","0","",""
"2220-04_1_S13","","Stop 04 1 S13","20.990734","105.864257","","","0","","","","0","",""
"2220-04_1_S14","","Stop 04 1 S14","20.986567","105.869207","","","0","","","","0","",""
"2220-04_1_S15","","Stop 04 1 S15","20.984884","105.87259","","","0","","","","0","",""
